Sample,Species,Host,Country
SRX4901544,WTD-Michigan,RESERVOIR,USA
SRX4901543,WTD-Michigan,RESERVOIR,USA
SRX2996014,WTD-Michigan,RESERVOIR,USA
SRX2996011,WTD-Michigan,RESERVOIR,USA
SRX4901542,WTD-Michigan,RESERVOIR,USA
SRX2996012,WTD-Michigan,RESERVOIR,USA
SRX2996009,ELK-Michigan,NON-RESERVOIR,USA
SRX4901506,WTD-Michigan,RESERVOIR,USA
SRX4901507,WTD-Michigan,RESERVOIR,USA
SRX4901508,WTD-Michigan,RESERVOIR,USA
SRX2996010,WTD-Michigan,RESERVOIR,USA
SRX2995986,BOVINE-Michigan,RESERVOIR,USA
SRX2995967,BOVINE-Michigan,RESERVOIR,USA
SRX2995979,WTD-Michigan,RESERVOIR,USA
SRX2995978,WTD-Michigan,RESERVOIR,USA
SRX2995977,WTD-Michigan,RESERVOIR,USA
SRX2995976,BOVINE-Michigan,RESERVOIR,USA
SRX2995983,BOVINE-Michigan,RESERVOIR,USA
SRX4901509,WTD-Michigan,RESERVOIR,USA
SRX4901510,WTD-Michigan,RESERVOIR,USA
SRX4901511,WTD-Michigan,RESERVOIR,USA
SRX4901512,WTD-Michigan,RESERVOIR,USA
SRX2995982,BOVINE-Michigan,RESERVOIR,USA
SRX4901513,WTD-Michigan,RESERVOIR,USA
SRX2995981,WTD-Michigan,RESERVOIR,USA
SRX4901502,WTD-Michigan,RESERVOIR,USA
SRX2995980,WTD-Michigan,RESERVOIR,USA
SRX4901503,WTD-Michigan,RESERVOIR,USA
SRX4901483,WTD-Michigan,RESERVOIR,USA
SRX4901482,WTD-Michigan,RESERVOIR,USA
SRX4901485,WTD-Michigan,RESERVOIR,USA
SRX4901484,WTD-Michigan,RESERVOIR,USA
SRX4901479,WTD-Michigan,RESERVOIR,USA
SRX4901478,WTD-Michigan,RESERVOIR,USA
SRX4901481,WTD-Michigan,RESERVOIR,USA
SRX4901480,WTD-Michigan,RESERVOIR,USA
SRX4901475,WTD-Michigan,RESERVOIR,USA
SRX4901474,WTD-Michigan,RESERVOIR,USA
SRX4901528,WTD-Michigan,RESERVOIR,USA
SRX4901529,WTD-Michigan,RESERVOIR,USA
SRX4901526,WTD-Michigan,RESERVOIR,USA
SRX4901527,WTD-Michigan,RESERVOIR,USA
SRX4901530,WTD-Michigan,RESERVOIR,USA
SRX4901533,WTD-Michigan,RESERVOIR,USA
SRX4901522,WTD-Michigan,RESERVOIR,USA
SRX4901523,WTD-Michigan,RESERVOIR,USA
SRX4901498,WTD-Michigan,RESERVOIR,USA
SRX4901500,WTD-Michigan,RESERVOIR,USA
SRX2995985,WTD-Michigan,RESERVOIR,USA
SRX4901539,WTD-Michigan,RESERVOIR,USA
SRX4901538,WTD-Michigan,RESERVOIR,USA
SRX4901505,WTD-Michigan,RESERVOIR,USA
SRX4901488,WTD-Michigan,RESERVOIR,USA
SRX4901534,WTD-Michigan,RESERVOIR,USA
SRX4901532,WTD-Michigan,RESERVOIR,USA
SRX4901499,WTD-Michigan,RESERVOIR,USA
SRX4901504,WTD-Michigan,RESERVOIR,USA
SRX4901473,WTD-Michigan,RESERVOIR,USA
SRX4901472,WTD-Michigan,RESERVOIR,USA
SRX4901501,WTD-Michigan,RESERVOIR,USA
SRX4901540,WTD-Michigan,RESERVOIR,USA
SRX4901536,WTD-Michigan,RESERVOIR,USA
SRX2995984,WTD-Michigan,RESERVOIR,USA
SRX4901476,WTD-Michigan,RESERVOIR,USA
SRX4901471,WTD-Michigan,RESERVOIR,USA
SRX2995962,WTD-Michigan,RESERVOIR,USA
SRX4901477,WTD-Michigan,RESERVOIR,USA
SRX4901541,WTD-Michigan,RESERVOIR,USA
SRX2995963,WTD-Michigan,RESERVOIR,USA
SRX4901489,WTD-Michigan,RESERVOIR,USA
SRX2995964,WTD-Michigan,RESERVOIR,USA
SRX4901531,WTD-Michigan,RESERVOIR,USA
SRX4901535,WTD-Michigan,RESERVOIR,USA
SRX4901537,WTD-Michigan,RESERVOIR,USA
SRX2526901,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526903,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526907,POSSUM-NZ,RESERVOIR,New Zealand
SRX2526909,POSSUM-NZ,RESERVOIR,New Zealand
SRX2526912,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526914,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526917,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526919,POSSUM-NZ,RESERVOIR,New Zealand
SRX2526920,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526923,POSSUM-NZ,RESERVOIR,New Zealand
SRX2526924,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526928,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526930,POSSUM-NZ,RESERVOIR,New Zealand
SRX2526932,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526933,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526934,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2526935,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526936,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526939,POSSUM-NZ,RESERVOIR,New Zealand
SRX2526940,POSSUM-NZ,RESERVOIR,New Zealand
SRX2526941,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2526943,POSSUM-NZ,RESERVOIR,New Zealand
SRX2526945,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526946,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526950,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526952,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526954,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526956,POSSUM-NZ,RESERVOIR,New Zealand
SRX2526958,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526960,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526963,POSSUM-NZ,RESERVOIR,New Zealand
SRX2526966,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526967,POSSUM-NZ,RESERVOIR,New Zealand
SRX2526969,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526971,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2526972,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526973,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526974,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526976,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526977,PORCINE-NZ,NON-RESERVOIR,New Zealand
SRX2526979,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526983,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526988,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526989,POSSUM-NZ,RESERVOIR,New Zealand
SRX2526991,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526992,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526994,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526996,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526997,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526999,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527000,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527001,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527004,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527005,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527008,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527010,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527013,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527014,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527015,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527017,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527020,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527021,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2527022,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527024,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2527027,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2527028,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527030,STOAT-NZ,NON-RESERVOIR,New Zealand
SRX2527032,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527034,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2527042,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527045,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527046,PORCINE-NZ,NON-RESERVOIR,New Zealand
SRX2527047,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527049,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527050,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527052,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2527053,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527055,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527058,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527060,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527062,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527063,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527066,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527068,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527070,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527072,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527074,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527076,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527080,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527081,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527083,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527085,PORCINE-NZ,NON-RESERVOIR,New Zealand
SRX2527087,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527089,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527091,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527093,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527095,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527097,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527099,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527100,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527102,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527105,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527107,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527109,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2527110,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527112,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527114,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2527118,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2527119,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2527121,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527126,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527128,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527130,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2527132,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527134,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527135,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527136,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527141,BOVINE-NZ,RESERVOIR,New Zealand
