Sample,Species,Host,Country,Domesticated,
SRX2995963,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2995964,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2995965,BOVINE-Michigan,RESERVOIR,USA,CATTLE,DOMESTICATE
SRX2995966,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2995967,BOVINE-Michigan,RESERVOIR,USA,CATTLE,DOMESTICATE
SRX2995968,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2995969,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2995970,ELK-Michigan,NON-RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2995972,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2995973,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2995974,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2995975,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2995976,BOVINE-Michigan,RESERVOIR,USA,CATTLE,DOMESTICATE
SRX2995977,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2995978,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2995979,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2995980,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2995981,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2995983,BOVINE-Michigan,RESERVOIR,USA,CATTLE,DOMESTICATE
SRX2995984,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2995985,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2995986,BOVINE-Michigan,RESERVOIR,USA,CATTLE,DOMESTICATE
SRX2995987,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2995988,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRR5817693,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2995990,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2995991,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2995992,ELK-Michigan,NON-RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2995993,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2995994,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2995995,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2995996,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2995997,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2995998,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2995999,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2996000,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2996001,ELK-Michigan,NON-RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2996002,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2996003,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2996004,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2996005,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2996006,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2996007,BOVINE-Michigan,RESERVOIR,USA,CATTLE,DOMESTICATE
SRX2996008,BOVINE-Michigan,RESERVOIR,USA,CATTLE,DOMESTICATE
SRX2996009,ELK-Michigan,NON-RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2996010,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2996011,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2996012,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX2996013,BOVINE-Michigan,RESERVOIR,USA,CATTLE,DOMESTICATE
SRX2996014,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901471,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901472,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901473,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901474,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901475,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901476,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901477,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901478,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901479,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901480,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901481,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901482,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901483,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901484,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901485,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901486,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901487,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901488,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901489,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901490,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901492,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901493,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901494,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901495,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901496,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901497,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901498,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901499,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901500,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901501,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901502,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901503,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901504,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901505,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901506,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901507,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901508,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901509,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901510,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901511,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901512,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901513,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901514,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901515,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901516,BOVINE-Michigan,RESERVOIR,USA,CATTLE,DOMESTICATE
SRX4901517,BOVINE-Michigan,RESERVOIR,USA,CATTLE,DOMESTICATE
SRX4901518,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901519,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901520,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901521,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901522,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901523,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901524,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901525,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901526,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901527,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901528,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901529,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901530,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901531,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901532,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901533,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901534,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901535,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901536,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901537,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901538,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901539,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901540,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901541,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901542,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901543,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901544,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901545,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901547,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901548,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901549,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901550,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX4901551,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
SRX5399999,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400000,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400001,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400002,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400003,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400004,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400006,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400007,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400008,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400009,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400010,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400011,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400012,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400013,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400014,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400015,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400016,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400017,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400018,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400019,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400020,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400021,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400022,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400023,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400024,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400025,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400028,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400029,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400030,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400031,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400032,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400033,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400034,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400036,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400038,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400039,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400040,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400041,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400042,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400043,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400044,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400045,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400046,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400047,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400048,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400050,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400051,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400052,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400053,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400054,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400055,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400056,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400057,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400059,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400063,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400068,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400069,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400070,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400071,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400072,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400075,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400077,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400078,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400079,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400080,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400082,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400083,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400084,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400087,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400089,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400090,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400091,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400092,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400093,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400094,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400095,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400096,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400097,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400098,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400099,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400100,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400101,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400102,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400104,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400105,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400106,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400107,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400109,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400111,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400112,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400113,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400114,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400115,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400119,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400120,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400121,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400122,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400123,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400124,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400125,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400126,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400128,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400129,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400130,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400131,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400133,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400134,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400135,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400136,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400137,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400138,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400139,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400140,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400141,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400142,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400145,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400146,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400147,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400153,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400154,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400155,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400156,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400157,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400158,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400159,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400160,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400161,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400162,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400167,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400169,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400170,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400171,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400172,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400174,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400175,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400176,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400177,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400178,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400179,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400180,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400181,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400182,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400183,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400184,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400185,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400186,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400187,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400188,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400189,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400190,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400191,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400192,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400193,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400194,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400196,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400197,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400199,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400201,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400202,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400204,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400206,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400207,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400209,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400210,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400211,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400212,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400213,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400215,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400216,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400217,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400218,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400219,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400220,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400221,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400222,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400223,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400224,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400225,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400227,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400228,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400229,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400230,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
