label,0
SRX2526900,9
SRX2526901,9
SRX2526902,7
SRX2526903,3
SRX2526904,3
SRX2526905,11
SRX2526906,14
SRX2526907,10
SRX2526908,14
SRX2526909,5
SRX2526910,3
SRX2526911,3
SRX2526912,11
SRX2526913,3
SRX2526914,14
SRX2526915,3
SRX2526916,14
SRX2526917,3
SRX2526918,3
SRX2526919,14
SRX2526920,4
SRX2526921,11
SRX2526922,7
SRX2526923,14
SRX2526924,3
SRX2526925,15
SRX2526926,3
SRX2526927,14
SRX2526928,10
SRX2526929,3
SRX2526930,7
SRX2526931,3
SRX2526932,3
SRX2526933,14
SRX2526934,14
SRX2526935,4
SRX2526936,14
SRX2526937,10
SRX2526938,4
SRX2526939,12
SRX2526940,12
SRX2526941,10
SRX2526942,7
SRX2526943,14
SRX2526944,14
SRX2526945,11
SRX2526946,11
SRX2526947,3
SRX2526948,10
SRX2526949,14
SRX2526950,14
SRX2526951,3
SRX2526952,4
SRX2526953,3
SRX2526954,3
SRX2526955,3
SRX2526956,11
SRX2526957,9
SRX2526958,14
SRX2526959,3
SRX2526960,10
SRX2526961,14
SRX2526962,3
SRX2526963,14
SRX2526964,12
SRX2526965,7
SRX2526966,14
SRX2526967,12
SRX2526968,12
SRX2526969,7
SRX2526970,4
SRX2526971,14
SRX2526972,14
SRX2526973,14
SRX2526974,4
SRX2526975,3
SRX2526976,13
SRX2526977,11
SRX2526978,14
SRX2526980,7
SRX2526981,12
SRX2526982,14
SRX2526983,3
SRX2526984,3
SRX2526985,4
SRX2526986,9
SRX2526987,11
SRX2526988,11
SRX2526989,11
SRX2526990,5
SRX2526991,11
SRX2526992,7
SRX2526993,14
SRX2526994,3
SRX2526995,11
SRX2526996,11
SRX2526997,14
SRX2526998,3
SRX2526999,3
SRX2527000,9
SRX2527001,14
SRX2527002,14
SRX2527003,12
SRX2527004,3
SRX2527005,3
SRX2527006,3
SRX2527007,3
SRX2527008,7
SRX2527009,3
SRX2527010,5
SRX2527011,11
SRX2527012,14
SRX2527013,3
SRX2527014,10
SRX2527015,12
SRX2527016,3
SRX2527017,9
SRX2527018,14
SRX2527019,14
SRX2527020,7
SRX2527021,12
SRX2527022,14
SRX2527023,12
SRX2527024,10
SRX2527025,7
SRX2527026,10
SRX2527027,12
SRX2527028,14
SRX2527029,3
SRX2527030,9
SRX2527031,14
SRX2527032,3
SRX2527033,11
SRX2527034,12
SRX2527035,14
SRX2527036,3
SRX2527037,14
SRX2527038,14
SRX2527039,14
SRX2527040,3
SRX2527041,3
SRX2527042,14
SRX2527043,14
SRX2527044,14
SRX2527045,4
SRX2527046,3
SRX2527047,14
SRX2527048,14
SRX2527049,3
SRX2527050,3
SRX2527051,3
SRX2527052,7
SRX2527053,14
SRX2527054,10
SRX2527055,14
SRX2527056,3
SRX2527057,3
SRX2527058,3
SRX2527059,14
SRX2527060,14
SRX2527061,7
SRX2527062,14
SRX2527063,14
SRX2527064,3
SRX2527065,5
SRX2527066,7
SRX2527067,12
SRX2527068,12
SRX2527069,12
SRX2527070,14
SRX2527071,9
SRX2527072,3
SRX2527073,14
SRX2527074,4
SRX2527075,4
SRX2527076,3
SRX2527077,12
SRX2527078,9
SRX2527079,11
SRX2527080,12
SRX2527081,12
SRX2527082,14
SRX2527083,12
SRX2527084,10
SRX2527085,12
SRX2527086,14
SRX2527087,5
SRX2527088,9
SRX2527089,14
SRX2527090,12
SRX2527091,3
SRX2527092,3
SRX2527093,3
SRX2527094,7
SRX2527095,5
SRX2527096,14
SRX2527097,14
SRX2527098,4
SRX2527099,9
SRX2527100,3
SRX2527101,14
SRX2527102,4
SRX2527103,3
SRX2527104,5
SRX2527105,4
SRX2527106,12
SRX2527107,12
SRX2527108,10
