"","region","gene_name"
"219","LT708304.1","pks12"
"220","LT708304.1","pks12"
"221","LT708304.1","pks12"
"222","LT708304.1","pks12"
"223","LT708304.1","pks12"
"224","LT708304.1","pks12"
"225","LT708304.1","pks12"
"226","LT708304.1","pks12"
"227","LT708304.1","pks12"
"228","LT708304.1","pks12"
"229","LT708304.1","pks12"
"230","LT708304.1","pks12"
"231","LT708304.1","pks12"
"232","LT708304.1","pks12"
"233","LT708304.1","PE_PGRS38"
"234","LT708304.1","PE_PGRS43a"
"235","LT708304.1","BQ2027_MB2551C"
"236","LT708304.1","lppA"
"237","LT708304.1","lppA"
"238","LT708304.1","lppA"
"239","LT708304.1","lprR"
"240","LT708304.1","lprR"
"241","LT708304.1","lprR"
"242","LT708304.1","lprR"
"243","LT708304.1","lprR"
"244","LT708304.1","lprR"
"245","LT708304.1","lprR"
"246","LT708304.1","lppB"
"247","LT708304.1","lppB"
"248","LT708304.1","lppB"
"249","LT708304.1","PE_PGRS45"
"250","LT708304.1","PE_PGRS46"
"251","LT708304.1","ppsA"
"252","LT708304.1","ppsA"
"253","LT708304.1","ppsA"
"254","LT708304.1","ppsA"
"255","LT708304.1","ppsB"
"256","LT708304.1","ppsB"
"257","LT708304.1","PPE47"
"258","LT708304.1","PPE47"
"259","LT708304.1","PPE47"
"260","LT708304.1","PPE53"
"261","LT708304.1","PPE54"
"262","LT708304.1","PPE54"
"263","LT708304.1","PPE54"
"264","LT708304.1","PE_PGRS50a"
"265","LT708304.1","PPE55b"
"266","LT708304.1","PPE55a"
"267","LT708304.1","PPE56a"
"268","LT708304.1","PE_PGRS52"
"269","LT708304.1","PPE60"
"270","LT708304.1","PPE60"
"271","LT708304.1","PPE60"
"272","LT708304.1","PPE60"
"273","LT708304.1","PPE60"
"274","LT708304.1","PPE60"
"275","LT708304.1","PPE60"
"276","LT708304.1","PPE60"
"277","LT708304.1","PPE60"
"278","LT708304.1","PPE60"
"279","LT708304.1","PPE60"
"280","LT708304.1","PPE60"
"281","LT708304.1","PPE60"
"282","LT708304.1","PPE60"
"283","LT708304.1","PPE60"
"284","LT708304.1","PPE60"
"285","LT708304.1","PPE60"
"286","LT708304.1","PPE60"
"287","LT708304.1","PPE60"
"288","LT708304.1","PPE60"
"289","LT708304.1","PPE60"
"290","LT708304.1","PPE60"
"291","LT708304.1","PPE60"
"292","LT708304.1","PPE60"
"293","LT708304.1","PPE60"
"294","LT708304.1","PPE60"
"295","LT708304.1","PPE60"
"296","LT708304.1","PPE60"
"297","LT708304.1","PPE60"
"298","LT708304.1","PPE60"
"299","LT708304.1","PPE60"
"300","LT708304.1","PPE60"
"301","LT708304.1","PPE60"
"302","LT708304.1","PPE60"
"303","LT708304.1","PPE60"
"304","LT708304.1","PPE60"
"305","LT708304.1","PPE60"
"306","LT708304.1","PPE60"
"307","LT708304.1","PPE60"
"308","LT708304.1","PPE60"
"309","LT708304.1","PPE60"
"310","LT708304.1","PPE60"
"311","LT708304.1","PPE60"
"312","LT708304.1","PPE60"
"313","LT708304.1","PPE60"
"314","LT708304.1","PE_PGRS53"
"315","LT708304.1","PE_PGRS53"
"316","LT708304.1","PE_PGRS53"
"317","LT708304.1","PE_PGRS53"
"318","LT708304.1","PE_PGRS53"
"319","LT708304.1","PE_PGRS53"
"320","LT708304.1","PE_PGRS53"
"321","LT708304.1","PE_PGRS54"
"322","LT708304.1","PE_PGRS54"
"323","LT708304.1","PE_PGRS54"
"324","LT708304.1","PE_PGRS54"
"325","LT708304.1","PE_PGRS54"
"326","LT708304.1","PE_PGRS54"
"327","LT708304.1","PE_PGRS54"
"328","LT708304.1","PE_PGRS54"
"329","LT708304.1","PE_PGRS54"
"330","LT708304.1","PE_PGRS54"
"331","LT708304.1","PE_PGRS54"
"332","LT708304.1","PE_PGRS54"
"333","LT708304.1","PE_PGRS54"
"334","LT708304.1","PE_PGRS54"
"335","LT708304.1","PE_PGRS54"
"336","LT708304.1","PE_PGRS54"
"337","LT708304.1","PE_PGRS54"
"338","LT708304.1","PE_PGRS54"
"339","LT708304.1","PE_PGRS54"
"340","LT708304.1","PE_PGRS54"
"341","LT708304.1","PE_PGRS54"
"342","LT708304.1","PE_PGRS54"
"343","LT708304.1","PE_PGRS54"
"344","LT708304.1","PE_PGRS54"
"345","LT708304.1","PE_PGRS54"
"346","LT708304.1","PE_PGRS54"
"347","LT708304.1","PE_PGRS54"
"348","LT708304.1","PE_PGRS54"
"349","LT708304.1","PE_PGRS54"
"350","LT708304.1","PE_PGRS54"
"351","LT708304.1","PE_PGRS54"
"352","LT708304.1","PE_PGRS54"
"353","LT708304.1","PE_PGRS54"
"354","LT708304.1","PE_PGRS54"
"355","LT708304.1","PE_PGRS54"
"356","LT708304.1","PE_PGRS54"
"357","LT708304.1","PE_PGRS54"
"358","LT708304.1","PE_PGRS54"
"359","LT708304.1","PE_PGRS54"
"360","LT708304.1","PE_PGRS54"
"361","LT708304.1","PE_PGRS54"
"362","LT708304.1","PE_PGRS54"
"363","LT708304.1","PE_PGRS54"
"364","LT708304.1","PE_PGRS54"
"365","LT708304.1","PE_PGRS54"
"366","LT708304.1","PE_PGRS54"
"367","LT708304.1","ilvX"
"368","LT708304.1","ilvX"
"369","LT708304.1","BQ2027_MB3540C"
"370","LT708304.1","BQ2027_MB3540C"
"371","LT708304.1","PE_PGRS55"
"372","LT708304.1","PE_PGRS55"
"373","LT708304.1","PE_PGRS55"
"374","LT708304.1","fadD18"
"375","LT708304.1","PE_PGRS57"
"376","LT708304.1","PE_PGRS57"
"377","LT708304.1","PE_PGRS58"
